M,oxidising a1,oxidising a2,reducing a1,reducing a2
Mo,0.05,-0.04,0.32,0.2
W,0.06,-0.24,0.21,0.6
Nb,0.2,-0.34,0.04,0.23
Ni,0,0.5,0.13,-0.53
V,0.12,0.07,0.05,-0.09
Ir,0.09,-0.04,0,0.31
Cr,0,0.51,0.32,-0.64
Fe,0,0.78,0.47,-0.94
Mn,0,0.76,0.14,-0.37
Co,0,0.27,0.05,-0.2
Sb,0.05,0.04,0.12,-0.04
Sn,0,0.77,0.06,0.12
Bi,0,0.36,0.18,-0.36
Ti,0,0.98,0.22,-0.14
Ta,0.28,-0.57,0.09,0.36
In,0,0.36,0.56,-1.13
Pt,0,0.18,0.13,-0.1
Re,0.06,-0.24,0,0.47
Ge,0,1.34,0.02,0.57
Rh,0,0.31,0.05,0.09
Cu,0,0.13,0.1,-0.41
Te,0,0.2,0,0.37
Li,0,0.24,0.11,-0.68
Na,0,0.17,0.06,-0.35
Mg,0,0.51,0.26,-1.03
Y,0.11,0.32,0.84,-1.69
Ca,0,0.55,0.28,-1.1
Sc,0.07,0.49,0.93,-1.87
Zn,0,0.26,0.18,-0.73